model,case_id,slice_idx,dice_liver,dice_tumor,dice_avg,hd_full_liver,hd_full_tumor,hd95_liver,hd95_tumor,hd95_avg
Dataset002_LiTSMaisiCombined,volume-117,462,0.9436,0.8766,0.9101,193.7582,21.0433,3.7577,4.0313,3.8945
Dataset002_LiTSMaisiCombined,volume-118,251,0.9435,0.8487,0.8961,117.4674,48.5183,6.0,10.0274,8.0137
Dataset002_LiTSMaisiCombined,volume-119,230,0.9746,0.0,0.4873,23.6468,1.8446742974197924e+19,3.3919,1.8446742974197924e+19,9.223371487098962e+18
Dataset002_LiTSMaisiCombined,volume-120,263,0.9763,0.7028,0.8396,25.3568,41.2863,2.6896,3.6647,3.1771
Dataset002_LiTSMaisiCombined,volume-124,235,0.9711,0.888,0.9296,29.915,65.4653,2.5788,5.1192,3.849
Dataset002_LiTSMaisiCombined,volume-126,226,0.979,0.5902,0.7846,20.6132,11.8918,2.4037,8.5722,5.488
Dataset002_LiTSMaisiCombined,volume-13,363,0.9632,0.5458,0.7545,26.9765,126.7413,4.0888,112.2404,58.1646
Dataset002_LiTSMaisiCombined,volume-130,505,0.9328,0.5923,0.7626,45.7253,44.3675,14.0101,24.7974,19.4038
Dataset002_LiTSMaisiCombined,volume-17,404,0.9769,0.8347,0.9058,21.2158,150.8676,3.0682,2.5127,2.7904
Dataset002_LiTSMaisiCombined,volume-20,477,0.9678,0.5613,0.7645,133.7049,93.0619,4.5994,87.995,46.2972
Dataset002_LiTSMaisiCombined,volume-25,521,0.9701,0.0,0.4851,20.672,1.8446742974197924e+19,3.9012,1.8446742974197924e+19,9.223371487098962e+18
Dataset002_LiTSMaisiCombined,volume-27,428,0.9585,0.7936,0.876,21.1265,37.5818,4.0164,6.0604,5.0384
Dataset002_LiTSMaisiCombined,volume-28,63,0.9671,0.8967,0.9319,45.4973,24.1039,4.0,4.4721,4.2361
Dataset002_LiTSMaisiCombined,volume-29,69,0.9682,0.3785,0.6733,59.1523,16.7631,3.4641,11.0454,7.2547
Dataset002_LiTSMaisiCombined,volume-3,361,0.9761,0.8212,0.8987,24.5388,2.8856,2.4099,1.9611,2.1855
Dataset002_LiTSMaisiCombined,volume-35,60,0.9648,0.2497,0.6073,37.3497,127.3342,6.0828,112.8893,59.486
Dataset002_LiTSMaisiCombined,volume-4,463,0.8523,0.9247,0.8885,135.1967,115.6115,66.2025,4.0429,35.1227
Dataset002_LiTSMaisiCombined,volume-43,59,0.9481,0.1006,0.5243,45.3431,144.6409,7.8102,123.0488,65.4295
Dataset002_LiTSMaisiCombined,volume-53,64,0.9665,0.5551,0.7608,31.281,8.0703,5.3181,5.3759,5.347
